Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadacao_Total,Ganhadores_15_Numeros,Cidade,Ganhadores_14_Numeros,Ganhadores_13_Numeros,Ganhadores_12_Numeros,Ganhadores_11_Numeros,Valor_Rateio_15_Numeros,Valor_Rateio_14_Numeros,Valor_Rateio_13_Numeros,Valor_Rateio_12_Numeros,Valor_Rateio_11_Numeros,Acumulado_15_Numeros,Estimativa_Premio,Valor_Acumulado_Especial
1,2003-09-29,2,3,5,6,9,10,11,13,14,16,18,20,23,24,25,0.0,5,BA PR SP,154,4645,48807,257593,4976582.0,68984.0,100.0,40.0,20.0,0.0,0.0,0.0
2,2003-10-06,1,4,5,6,7,9,11,12,13,15,16,19,20,23,24,0.0,1,SP,184,6232,81252,478188,5963237.0,138895.0,100.0,40.0,20.0,0.0,0.0,0.0
3,2003-10-13,1,4,6,7,8,9,10,11,12,14,16,17,20,23,24,0.0,2,SP,158,6897,96244,608211,4006237.0,217336.0,100.0,40.0,20.0,0.0,0.0,0.0
4,2003-10-20,1,2,4,5,8,10,12,13,16,17,18,19,23,24,25,0.0,1,MT,258,9569,123912,706657,90222602.0,149872.0,100.0,40.0,20.0,0.0,0.0,0.0
5,2003-10-27,1,2,4,8,9,11,12,13,15,16,19,20,23,24,25,0.0,2,BA MS,472,14736,195636,860992,38001755.0,68749.0,100.0,40.0,20.0,0.0,0.0,0.0
6,2003-11-03,1,2,4,5,6,7,10,12,15,16,17,19,21,23,25,0.0,2,RJ RS,393,14242,162320,888301,48914006.0,106683.0,100.0,40.0,20.0,0.0,0.0,0.0
7,2003-11-10,1,4,7,8,10,12,14,15,16,18,19,21,22,23,25,0.0,9,BA DF GO MG RJ RS SP,1333,25878,206828,967358,10462529.0,30159.0,100.0,40.0,20.0,0.0,0.0,0.0
8,2003-11-17,1,5,6,8,9,10,13,15,16,17,18,19,20,22,25,0.0,1,BA,256,11414,149037,926910,120195808.0,201221.0,100.0,40.0,20.0,0.0,0.0,0.0
9,2003-11-24,3,4,5,9,10,11,13,15,16,17,19,20,21,24,25,0.0,3,PR SP,407,14973,213511,1104328,33605365.0,10616.0,100.0,40.0,20.0,0.0,0.0,0.0
10,2003-12-01,2,3,4,5,6,8,9,10,11,12,14,19,20,23,24,0.0,0,,380,15767,207355,1186563,0.0,115708.0,100.0,40.0,20.0,10259450.0,0.0,0.0
